A̱o,Trimestre,Accesos por cada 100 hab,Periodo
2013,1,154.37,Ene-Mar 2013
2013,2,156.0,Abr-Jun 2013
2013,3,158.59,Jul-Sept 2013
2013,4,159.37,Oct-Dic 2013
2014,1,148.07,Ene-Mar 2014
2014,2,143.0,Abr-Jun 2014
2014,3,143.44,Jul-Sept 2014
2014,4,142.6,Oct-Dic 2014
2015,1,140.12,Ene-Mar 2015
2015,2,138.94,Abr-Jun 2015
2015,3,140.56,Jul-Sept 2015
2015,4,142.75,Oct-Dic 2015
2016,1,141.55,Ene-Mar 2016
2016,2,142.64,Abr-Jun 2016
2016,3,145.6,Jul-Sept 2016
2016,4,145.55,Oct-Dic 2016
2017,1,143.59,Ene-Mar 2017
2017,2,142.81,Abr-Jun 2017
2017,3,141.05,Jul-Sept 2017
2017,4,139.94,Oct-Dic 2017
2018,1,136.59,Ene-Mar 2018
2018,2,133.76,Abr-Jun 2018
2018,3,132.02,Jul-Sept 2018
2018,4,131.15,Oct-Dic 2018
2019,1,131.17,Ene-Mar 2019
2019,2,128.91,Abr-Jun 2019
2019,3,128.68,Jul-Sept 2019
2019,4,124.89,Oct-Dic 2019
2020,1,123.81,Ene-Mar 2020
2020,2,121.71,Abr-Jun 2020
2020,3,120.18,Jul-Sept 2020
2020,4,120.21,Oct-Dic 2020
2021,1,123.62,Ene-Mar 2021
2021,2,124.26,Abr-Jun 2021
2021,3,126.01,Jul-Sept 2021
2021,4,128.44,Oct-Dic 2021
2022,1,128.37,Ene-Mar 2022
2022,2,127.95,Abr-Jun 2022
2022,3,127.98,Jul-Sept 2022
2022,4,128.65,Oct-Dic 2022
